,Ch1,Ch2,Elapsed_time
0,-8.301502e-13,-5.826551e-11,0.5709655284881592
1,-5.754034e-13,-5.832318e-11,1.1459801197052002
2,-1.154375e-12,-5.825396e-11,1.7205438613891602
3,-1.165953e-12,-5.783873e-11,2.2959132194519043
4,-1.073319e-12,-5.787332e-11,2.8712916374206543
5,-7.838309e-13,-5.795408e-11,3.4458870887756348
6,-7.375133e-13,-5.752729e-11,4.021084547042847
7,-1.958936e-14,-5.787334e-11,4.595867395401001
8,-1.131215e-12,-5.858847e-11,5.171635866165161
9,-1.200692e-12,-5.836932e-11,5.746839284896851
10,-1.142795e-12,-5.806941e-11,6.321654796600342
11,-8.5331e-13,-5.857693e-11,6.896942853927612
12,-1.189112e-12,-5.854232e-11,7.4719078540802
13,-5.059239e-13,-5.838083e-11,8.046282052993774
14,-6.796161e-13,-5.840392e-11,8.622126817703247
15,-1.605971e-12,-5.83001e-11,9.197179079055786
16,-1.212271e-12,-5.771184e-11,9.771519184112549
17,-1.050159e-12,-5.841544e-11,10.347372055053711
18,-1.235429e-12,-5.801175e-11,10.921996831893921
19,-1.073319e-12,-5.770031e-11,11.497636318206787
20,-8.764677e-13,-5.771184e-11,12.07226300239563
21,-6.217197e-13,-5.817322e-11,12.647663354873657
22,1.656821e-13,-5.831163e-11,13.222427606582642
23,-8.880453e-13,-5.738889e-11,13.797800540924072
24,-1.817019e-13,-5.750423e-11,14.372772693634033
25,-1.932807e-13,-5.817322e-11,14.947557210922241
26,-4.827662e-13,-5.780412e-11,15.522905349731445
27,-2.859154e-13,-5.827705e-11,16.097416162490845
28,4.783279e-13,-5.728508e-11,16.673224449157715
29,-3.785501e-13,-5.759652e-11,17.248493671417236
