,Ch1,Ch2,Elapsed_time
0,5.709335e-13,-3.301671e-11,0.5708761215209961
1,1.439399e-12,-3.254378e-11,1.145787239074707
2,8.835814e-13,-3.285522e-11,1.7210826873779297
3,5.13038e-13,-3.292443e-11,2.29594087600708
4,8.25685e-13,-3.273987e-11,2.8710758686065674
5,5.709352e-13,-3.329353e-11,3.446742534637451
6,9.530588e-13,-3.278601e-11,4.021215200424194
7,4.551403e-13,-3.318971e-11,4.596078157424927
8,3.740836e-13,-3.302824e-11,5.170968532562256
9,4.667191e-13,-3.272833e-11,5.746353626251221
10,4.782988e-13,-3.280908e-11,6.322040557861328
11,4.088201e-13,-3.230156e-11,6.897243976593018
12,9.067408e-13,-3.288982e-11,7.471585750579834
13,8.835814e-13,-3.283214e-11,8.047047138214111
14,4.319813e-13,-3.272833e-11,8.622461795806885
15,4.898777e-13,-3.300516e-11,9.197667121887207
16,7.909454e-13,-3.329352e-11,9.77225399017334
17,3.856637e-13,-3.307437e-11,10.347342014312744
18,7.793675e-13,-3.297055e-11,10.922414064407349
19,6.288325e-13,-3.269372e-11,11.49732756614685
20,1.045696e-12,-3.324738e-11,12.073046445846558
21,6.056735e-13,-3.316665e-11,12.647529125213623
22,1.254126e-12,-3.292442e-11,13.223357200622559
23,1.647829e-12,-3.267067e-11,13.7983078956604
24,8.025256e-13,-3.329352e-11,14.373100996017456
25,9.646385e-13,-3.343195e-11,14.948094367980957
26,1.103593e-12,-3.309743e-11,15.523547649383545
27,5.130393e-13,-3.307436e-11,16.098053216934204
28,4.782997e-13,-3.273987e-11,16.6739342212677
29,2.582886e-13,-3.290135e-11,17.249204397201538
